fixture_id,team_id,manager_id,formation
1208142,41,6025,5-4-1
1208142,40,2006,4-2-3-1
1208138,57,16556,4-2-3-1
1208138,33,4720,3-4-2-1
1208141,34,5,4-3-3
1208141,48,1594,4-2-3-1
1299062,50,4,4-2-3-1
1299062,209,1682,4-3-3
1299063,228,22849,3-4-2-1
1299063,42,7248,4-3-3
1208139,46,98,4-4-1-1
1208139,49,12629,4-2-3-1
1208133,35,2108,4-2-3-1
1208133,51,19253,4-2-3-1
1208134,42,7248,4-3-3
1208134,65,16,4-2-3-1
1208140,50,4,4-3-3
1208140,47,548,4-3-3
1208128,33,5380,4-2-3-1
1208128,46,98,4-3-3
1208129,65,16,4-2-3-1
1208129,34,5,4-3-3
1208130,47,548,4-3-3
1208130,57,16556,4-2-3-1
1208125,49,12629,4-2-3-1
1208125,42,7248,4-3-3
1208135,66,18,4-2-3-1
1208135,52,1534,3-4-2-1
1299067,66,18,4-2-3-1
1299067,496,4842,4-2-3-1
1208114,36,10,4-2-3-1
1208114,55,90,4-2-3-1
1208123,55,90,4-3-3
1208123,35,2108,4-2-3-1
1208126,52,1534,3-4-2-1
1208126,36,10,4-2-3-1
1208131,48,1594,4-1-4-1
1208131,45,7,4-2-3-1
1208132,39,18151,4-2-3-1
1208132,41,6025,5-4-1
1208124,51,19253,4-4-2
1208124,50,4,4-1-4-1
1208127,40,2006,4-2-3-1
1208127,66,18,4-2-3-1
1208136,45,7,4-2-3-1
1208136,55,90,4-3-3
1208137,36,10,4-2-3-1
1208137,39,18151,3-4-2-1
1208144,51,19253,4-4-2
1208144,41,6025,5-4-1
1208143,55,90,4-2-3-1
1208143,46,9443,3-4-2-1
1208146,52,1534,3-4-2-1
1208146,34,5,4-3-3
1208149,65,16,4-2-3-1
1208149,57,16556,4-2-3-1
1208152,39,18151,4-2-3-1
1208152,35,2108,4-2-3-1
1208151,48,1594,4-2-3-1
1208151,42,7248,4-3-3
1208145,49,12629,4-2-3-1
1208145,66,18,4-2-3-1
1208148,33,4720,3-4-2-1
1208148,45,7,4-2-3-1
1208150,47,548,4-3-3
1208150,36,10,4-2-3-1
1208147,40,2006,4-2-3-1
1208147,50,4,4-2-3-1
1208158,57,16556,4-2-3-1
1208158,52,1534,3-4-2-1
1208159,46,5380,4-2-3-1
1208159,48,1594,4-2-3-1
1208156,45,7,4-2-3-1
1208156,39,18151,3-4-2-1
1208160,50,4,4-2-3-1
1208160,65,16,4-2-3-1
1208161,34,5,4-3-3
1208161,40,2006,4-2-3-1
1208162,41,6025,5-3-2
1208162,49,12629,4-2-3-1
1208154,42,7248,4-3-3
1208154,33,4720,3-4-2-1
1208155,66,18,4-2-3-1
1208155,55,90,4-3-3
1208157,36,10,4-2-3-1
1208157,51,19253,3-4-2-1
1208153,35,2108,4-2-3-1
1208153,47,548,4-3-3
1208163,66,18,4-2-3-1
1208163,41,6025,5-3-2
1208164,55,90,3-4-2-1
1208164,34,5,4-3-3
1208165,52,1534,3-4-2-1
1208165,50,4,4-2-3-1
1208170,33,4720,3-4-2-1
1208170,65,16,4-2-3-1
1208167,36,10,4-2-3-1
1208167,42,7248,4-3-3
1208168,57,16556,4-2-3-1
1208168,35,2108,4-2-3-1
1208169,46,5380,4-2-3-1
1208169,51,19253,4-2-3-1
1208171,47,548,4-3-3
1208171,49,12629,4-2-3-1
1208172,48,1594,4-2-3-1
1208172,39,18151,3-4-2-1
1299044,40,2006,4-3-3
1299044,168,6801,3-5-2
1299045,228,4720,3-4-2-1
1299045,50,4,4-1-4-1
1299047,569,6608,4-2-3-1
1299047,66,18,4-2-3-1
1299052,505,2392,3-5-2
1299052,42,7248,4-4-2
1299196,33,5380,4-2-3-1
1299196,619,1163,4-2-3-1
1299338,49,12629,4-1-4-1
1299338,3684,21962,4-2-3-1
1299071,40,2006,4-3-3
1299071,541,2407,4-2-2-2
1208174,42,7248,4-3-3
1208174,45,7,4-3-3
1208177,40,2006,4-3-3
1208177,36,10,4-2-3-1
1208179,34,5,4-3-3
1208179,46,5380,4-2-3-1
1208182,39,18151,3-4-2-1
1208182,57,16556,4-2-3-1
1208180,65,16,4-2-3-1
1208180,66,18,4-2-3-1
1299349,180,1335,4-1-4-1
1299349,49,12629,4-2-3-1
1299212,33,4720,3-4-2-1
1299212,327,1952,4-3-3
1299217,47,548,4-3-3
1299217,497,2853,3-4-2-1
1208175,51,19253,4-2-3-1
1208175,52,1534,3-4-2-1
1208178,50,4,4-1-4-1
1208178,33,4720,3-4-3
1208176,49,12629,4-2-3-1
1208176,55,90,3-5-2
1208181,41,6025,4-3-1-2
1208181,47,548,4-2-3-1
1299226,567,15041,3-4-2-1
1299226,33,4720,3-4-2-1
1299009,656,185,4-2-3-1
1299009,50,4,4-2-3-1
1299010,42,7248,4-4-2
1299010,85,193,4-3-3
1299013,66,18,4-2-3-1
1299013,157,12590,4-2-3-1
1299017,40,2006,4-2-3-1
1299017,500,1611,4-1-4-1
1299022,66,18,4-2-3-1
1299022,500,1611,4-3-3
1035344,66,18,4-4-1-1
1035344,62,6,3-4-2-1
1299027,42,7248,4-4-2
1299027,550,3173,4-2-3-1
1309283,51,19253,4-2-3-1
1309283,40,2006,4-4-2
1309282,33,5380,4-2-3-1
1309282,46,98,4-2-3-1
1309285,66,18,4-2-3-1
1309285,52,1534,3-4-2-1
1310475,34,5,4-3-3
1310475,49,12629,4-2-3-1
1309281,47,548,4-3-3
1309281,50,4,4-1-4-1
1299035,50,4,4-1-4-1
1299035,628,13947,3-4-3
1299036,173,1540,4-4-2
1299036,40,2006,4-3-3
1299075,547,82,4-2-3-1
1299075,40,2006,4-3-3
1208071,35,2108,4-2-3-1
1208071,41,6025,4-2-3-1
1208072,42,7248,4-4-2
1208072,46,98,4-2-3-1
1299081,173,1540,4-4-2
1299081,66,18,4-2-3-1
1208073,55,90,4-4-2
1208073,48,1594,4-1-4-1
1208074,49,12629,4-2-3-1
1208074,51,19253,4-3-3
1208075,45,7,4-2-3-1
1208075,52,1534,3-4-3
1208076,57,16556,4-2-3-1
1208076,66,18,4-2-3-1
1208077,33,1993,4-2-3-1
1208077,47,548,4-3-3
1208078,34,5,4-3-3
1208078,50,4,4-2-3-1
1208079,65,16,4-4-2
1208079,36,10,4-2-3-1
1299088,496,4842,4-2-3-1
1299088,50,4,4-2-3-1
1208080,39,18151,4-1-4-1
1208080,40,2006,4-2-3-1
1208081,42,7248,4-4-2
1208081,41,6025,5-4-1
1208082,66,18,4-2-3-1
1208082,33,1993,4-2-3-1
1299091,42,7248,4-3-3
1299091,91,1542,4-2-3-1
1208083,55,90,4-2-3-1
1208083,39,18151,4-1-4-1
1208084,51,19253,4-2-3-1
1208084,47,548,4-3-3
1208085,49,12629,4-2-3-1
1208085,65,16,4-2-3-1
1208086,52,1534,3-4-3
1208086,40,2006,4-2-3-1
1208087,45,7,4-2-3-1
1208087,34,5,4-3-3
1208088,46,98,4-2-3-1
1208088,35,2108,4-2-3-1
1208089,50,4,4-1-4-1
1208089,36,10,5-4-1
1208090,48,1594,4-1-4-1
1208090,57,16556,4-2-3-1
1208091,35,2108,4-2-3-1
1208091,42,7248,4-2-3-1
1208092,36,10,4-2-3-1
1208092,66,18,4-2-3-1
1208093,57,16556,4-2-3-1
1208093,45,7,4-2-3-1
1208094,40,2006,4-2-3-1
1208094,49,12629,4-2-3-1
1208095,33,1993,4-2-3-1
1208095,55,90,4-2-3-1
1208096,34,5,4-3-3
1208096,51,19253,4-4-2
1208097,65,16,4-2-3-1
1208097,52,1534,3-1-4-2
1208098,41,6025,4-5-1
1208098,46,98,4-2-3-1
1208099,47,548,4-3-3
1208099,48,1594,4-1-4-1
1299233,257,1518,4-2-3-1
1299233,47,548,4-2-3-1
1208100,39,18151,3-5-2
1208100,50,4,4-1-4-1
1208103,42,7248,4-4-2
1208103,40,2006,4-2-3-1
1208104,66,18,4-4-1-1
1208104,35,2108,4-2-3-1
1208105,55,90,4-2-3-1
1208105,57,16556,4-2-3-1
1208106,51,19253,4-4-2
1208106,39,18151,3-4-2-1
1208107,49,12629,4-2-3-1
1208107,34,5,4-3-3
1208108,52,1534,3-4-2-1
1208108,47,548,4-3-3
1208109,45,7,4-2-3-1
1208109,36,10,4-2-3-1
1208110,46,98,4-2-3-1
1208110,65,16,4-2-3-1
1208111,50,4,4-1-4-1
1208111,41,6025,5-4-1
1208112,48,1594,4-2-3-1
1208112,33,1993,4-2-3-1
1208113,35,2108,4-2-3-1
1208113,50,4,4-1-4-1
1208115,57,16556,4-2-3-1
1208115,46,98,4-2-3-1
1208116,40,2006,4-2-3-1
1208116,51,19253,4-4-2
1208117,33,5380,4-2-3-1
1208117,49,12629,4-2-3-1
1208118,34,5,4-3-3
1208118,42,7248,4-4-2
1208119,65,16,4-2-3-1
1208119,48,1594,3-4-2-1
1208120,41,6025,5-4-1
1208120,45,7,4-2-3-1
1208121,47,548,4-3-3
1208121,66,18,4-2-3-1
1208122,39,18151,3-4-2-1
1208122,52,1534,3-4-2-1
1314297,42,7248,4-3-3
1314297,52,1534,3-4-2-1
1299365,562,4669,5-4-1
1299365,49,12629,3-3-1-3
1299386,49,12629,4-2-3-1
1299386,652,1563,3-5-2
1299134,33,1993,4-2-3-1
1299134,415,6671,4-2-3-1
1298640,40,2006,4-2-3-1
1298640,48,1594,4-2-3-1
1208173,35,2108,4-2-3-1
1208173,48,1594,4-1-4-1
1314296,47,548,4-2-3-1
1314296,33,4720,3-4-2-1
1314298,34,5,4-3-3
1314298,55,90,3-4-2-1
1314299,41,600,5-4-1
1314299,40,2006,4-3-3
1208064,36,10,4-2-3-1
1208064,34,5,4-3-3
1208065,46,98,4-2-3-1
1208065,45,7,4-2-3-1
1208066,40,2006,4-2-3-1
1208066,35,2108,4-2-3-1
1208067,50,4,4-3-3
1208067,42,7248,4-4-2
1208192,48,1594,4-1-4-1
1208192,51,19253,4-2-3-1
1208068,41,6025,4-2-3-1
1208068,57,16556,4-2-3-1
1208069,47,548,4-3-3
1208069,55,90,5-3-2
1208070,48,1594,3-4-3
1208070,49,12629,4-2-3-1
1298985,565,1499,4-2-3-1
1298985,66,18,4-2-3-1
1298987,489,2431,4-2-3-1
1298987,40,2006,4-2-3-1
1298994,50,4,3-2-4-1
1298994,505,2392,3-5-2
1298998,499,2393,3-4-2-1
1298998,42,7248,4-3-3
1208183,66,18,4-2-3-1
1208183,50,4,4-2-3-1
1298649,45,7,4-2-3-1
1298649,41,6025,4-2-3-1
1208185,52,1534,3-4-2-1
1208185,42,7248,4-3-3
1298652,51,19253,4-4-2
1298652,39,18151,4-2-3-1
1208184,55,90,4-3-3
1208184,65,16,3-4-2-1
1208188,57,16556,4-2-3-1
1208188,34,5,4-3-3
1208061,66,18,4-2-3-1
1208061,39,18151,4-1-4-1
1299145,47,548,4-3-3
1299145,556,1127,4-2-3-1
1299146,651,10421,4-2-3-1
1299146,47,548,4-3-3
1298641,50,4,3-2-4-1
1298641,38,21932,5-3-2
1298642,42,7248,4-3-3
1298642,68,685,3-5-2
1208186,45,7,4-3-3
1208186,49,12629,4-2-3-1
1298643,33,1993,4-2-3-1
1298643,747,606,5-3-2
1298644,1358,18552,4-1-4-1
1298644,66,18,4-2-3-1
1298645,1346,605,4-2-3-1
1298645,47,548,4-3-3
1299158,212,22764,4-3-3
1299158,33,1993,4-2-3-1
1208191,47,548,4-2-3-1
1208191,40,2006,4-2-3-1
1208190,33,4720,3-4-2-1
1208190,35,2108,4-2-3-1
1208189,46,5380,4-2-3-1
1208189,39,55,3-4-2-1
1309280,41,6025,4-3-3
1309280,75,18432,5-4-1
1298655,1342,19839,3-5-2
1298655,46,98,4-2-3-1
1309284,59,2397,4-2-3-1
1309284,42,7248,4-3-3
1299176,611,2462,4-3-3
1299176,33,1993,4-2-3-1
1208062,51,19253,4-2-3-1
1208062,65,16,4-2-3-1
1208063,52,1534,3-4-2-1
1208063,33,1993,4-2-3-1
1208187,36,10,4-2-3-1
1208187,41,600,3-4-1-2
1299304,49,12629,4-2-3-1
1299304,631,1516,3-4-3
1299181,47,548,4-3-3
1299181,201,15114,4-3-3
1299187,645,1442,3-4-1-2
1299187,47,548,4-3-3
1298646,55,90,4-3-3
1298646,1373,582,4-1-4-1
1208193,35,2108,4-2-3-1
1208193,52,1534,3-4-2-1
1208196,49,12629,4-2-3-1
1208196,36,10,4-5-1
1208198,50,4,4-1-4-1
1208198,45,7,4-3-3
1208197,40,,4-2-3-1
1208197,46,,4-2-3-1
1208199,34,5,4-3-3
1208199,66,18,4-2-3-1
1208200,65,16,4-2-3-1
1208200,47,548,4-2-3-1
1208201,41,2408,3-4-1-2
1208201,48,1594,4-1-4-1
1208202,39,55,3-4-2-1
1208202,33,4720,3-4-2-1
1299319,617,993,4-2-3-1
1299319,49,12629,4-2-2-2
1298648,59,2397,4-4-2
1298648,36,10,4-2-3-1
1150201,50,4,4-2-3-1
1150201,124,136,4-2-3-1
1298650,72,1878,4-2-3-1
1298650,52,1534,3-4-2-1
1208194,42,,4-3-3
1208194,57,,5-4-1
1208195,51,19253,4-2-3-1
1208195,55,90,4-2-3-1
1298653,34,5,4-3-3
1298653,1333,14311,3-5-2
1298654,49,12629,4-2-3-1
1298654,1819,21382,5-3-2
1309279,55,90,4-2-3-1
1309279,74,22937,3-4-2-1
1287647,1361,109,3-1-4-2
1287647,55,90,4-2-3-1
1287648,45,7,4-2-3-1
1287648,1354,99,4-1-4-1
1287651,65,16,3-4-1-2
1287651,34,5,4-3-3
1287584,49,12629,4-2-3-1
1287584,2184,2016,4-2-3-1
1287585,2184,2016,4-2-3-1
1287585,49,12629,3-2-4-1
1208033,51,19253,4-2-3-1
1208033,33,1993,4-2-3-1
1208034,52,1534,3-4-2-1
1208034,48,1594,4-1-4-1
1208035,36,10,4-2-3-1
1208035,46,98,3-4-3
1208036,40,2006,4-2-3-1
1208036,55,90,4-4-2
1208037,50,4,3-2-4-1
1208037,57,16556,5-4-1
1208205,52,1534,3-4-2-1
1208205,41,2408,3-4-2-1
1208206,45,7,4-3-3
1208206,65,16,4-2-3-1
1208207,36,10,4-5-1
1208207,35,2108,4-2-3-1
1208209,46,5380,4-2-3-1
1208209,50,4,4-1-4-1
1208211,47,548,4-2-3-1
1208211,39,55,3-4-2-1
1208212,48,1594,4-2-3-1
1208212,40,2006,4-2-3-1
1287657,39,18151,4-2-3-1
1287657,44,87,4-4-1-1
1287639,54,22922,4-2-3-1
1287639,36,10,4-2-3-1
1287641,48,1594,4-1-4-1
1287641,35,2108,4-2-3-1
1287643,51,19253,4-2-3-1
1287643,1362,17757,3-4-2-1
1208031,35,2108,4-2-3-1
1208031,34,5,4-3-3
1208032,66,18,4-4-2
1208032,42,7248,4-3-3
1208038,41,6025,3-5-2
1208038,65,16,4-2-3-1
1208039,47,548,4-3-3
1208039,45,7,4-2-3-1
1208040,39,18151,4-2-3-1
1208040,49,12629,4-2-3-1
1208041,42,7248,4-3-3
1208041,51,19253,4-2-3-1
1208042,55,90,4-3-3
1208042,41,6025,3-5-2
1208043,49,12629,4-2-3-1
1208043,52,1534,3-4-2-1
1208044,45,7,4-2-3-1
1208044,35,2108,4-2-3-1
1208045,57,16556,4-2-3-1
1208045,36,10,4-3-3
1208046,46,98,4-2-3-1
1208046,66,18,4-4-2
1208047,33,1993,4-2-3-1
1208047,40,2006,4-2-3-1
1208048,34,5,4-3-3
1208048,47,548,4-3-3
1287645,43,1448,4-2-3-1
1287645,41,6025,4-3-3
1287653,46,98,4-3-3
1287653,1381,2950,4-4-2
1208203,66,18,4-2-3-1
1208203,51,19253,4-2-3-1
1208210,33,4720,3-4-2-1
1208210,34,5,4-3-3
1208208,57,16556,4-2-3-1
1208208,49,12629,4-2-3-1
1208049,65,16,4-2-3-1
1208049,39,18151,4-4-1-1
1208050,48,1594,4-2-3-1
1208050,50,4,3-2-4-1
1287644,52,1534,3-4-2-1
1287644,71,19380,4-2-3-1
1208051,35,2108,4-2-3-1
1208051,49,12629,4-2-3-1
1208052,66,18,4-2-3-1
1208052,45,7,4-2-3-1
1208053,51,19253,4-4-2
1208053,57,16556,4-2-3-1
1208054,52,1534,3-4-2-1
1208054,46,98,4-2-3-1
1208055,36,10,4-2-3-1
1208055,48,1594,4-2-3-1
1208056,40,2006,4-2-3-1
1208056,65,16,4-2-3-1
1208057,50,4,4-2-3-1
1208057,55,90,5-3-2
1208058,41,6025,4-2-3-1
1208058,33,1993,4-2-3-1
1208059,47,548,4-3-3
1208059,42,7248,4-3-3
1208060,39,18151,4-4-1-1
1208060,34,5,4-3-3
1208026,65,16,4-2-3-1
1208026,35,2108,4-2-3-1
1222610,50,4,4-3-3
1222610,33,1993,4-2-3-1
1208021,33,1993,4-2-3-1
1208021,36,10,4-2-3-1
1208022,57,16556,4-2-3-1
1208022,40,2006,4-2-3-1
1208023,42,7248,4-3-3
1208023,39,18151,4-2-3-1
1208024,45,7,4-2-3-1
1208024,51,19253,4-2-3-1
1208025,34,5,4-3-3
1208025,41,6025,3-5-2
1218714,56,12320,4-2-3-1
1218714,1346,605,4-2-3-1
1208027,48,1594,4-1-4-1
1208027,66,18,4-2-3-1
1208028,55,90,4-3-3
1208028,52,1534,3-4-2-1
1208029,49,12629,4-2-3-1
1208029,50,4,3-2-4-1
1208030,46,98,4-2-3-1
1208030,47,548,4-3-3
1208204,55,90,4-3-1-2
1208204,42,7248,4-3-3
1213841,95,13350,3-4-3
1213841,91,1542,4-2-3-1
1213842,116,10665,3-4-2-1
1213842,83,3044,3-4-3
1213845,77,19560,4-2-3-1
1213845,85,193,4-3-3
1213843,94,4293,4-2-3-1
1213843,96,20377,3-4-2-1
1213844,84,8665,3-4-3
1213844,79,68,4-3-3
1213846,85,193,4-2-3-1
1213846,96,20377,3-4-2-1
1213847,116,10665,3-4-2-1
1213847,81,2424,3-5-2
1213848,84,8665,4-4-2
1213848,95,13350,4-4-2
1213849,1063,34,5-4-1
1213849,82,3043,4-2-3-1
1213850,79,68,4-2-3-1
1213850,94,127,3-4-2-1
1208213,35,2108,4-2-3-1
1208213,45,7,4-2-3-1
1208214,66,18,4-2-3-1
1208214,46,5380,4-2-3-1
1208215,51,19253,4-2-3-1
1208215,42,7248,4-3-3
1208216,52,1534,3-4-2-1
1208216,49,12629,4-2-3-1
1208219,50,4,4-1-4-1
1208219,48,1594,4-2-3-1
1208220,41,2408,3-4-3
1208220,55,90,4-3-3
1208221,47,548,4-2-3-1
1208221,34,5,4-3-3
1213851,83,3044,4-2-3-1
1213851,111,19134,3-4-2-1
1213852,91,1542,4-2-3-1
1213852,106,19112,4-3-3
1213853,108,1470,3-4-2-1
1213853,77,19560,4-2-3-1
1208217,36,10,3-4-3
1208217,57,16556,5-4-1
1208218,40,2006,4-2-3-1
1208218,33,4720,3-4-2-1
1213854,93,29,4-2-3-1
1213854,80,21562,4-2-3-1
1213855,93,29,4-3-3
1213855,116,10665,4-2-3-1
1213856,94,127,3-4-2-1
1213856,1063,34,5-4-1
1213857,111,19134,3-4-2-1
1213857,77,19560,4-2-3-1
1213858,96,20377,3-4-2-1
1213858,108,1470,5-4-1
1213859,106,19112,4-2-3-1
1213859,95,13350,4-2-3-1
1213860,82,3043,4-2-3-1
1213860,79,68,4-2-3-1
1213862,81,2424,3-4-2-1
1213862,91,1542,4-2-3-1
1213866,1063,34,5-4-1
1213866,81,2424,3-4-2-1
1213873,94,127,3-5-1-1
1213873,77,19560,4-2-3-1
1213874,111,19134,3-3-3-1
1213874,95,13350,4-4-2
1213749,96,20377,3-4-3
1213749,83,3044,4-2-3-1
1208222,39,55,3-4-2-1
1208222,65,16,4-2-3-1
1213747,106,19112,4-3-3
1213747,81,2424,4-2-3-1
1213748,82,30,4-2-3-1
1213748,95,13350,3-4-2-1
1213750,77,19560,5-3-2
1213750,116,10665,3-4-1-2
1213751,91,1542,4-4-2
1213751,1063,34,4-1-4-1
1213752,93,29,4-3-3
1213752,79,68,5-4-1
1213753,108,1470,4-4-2
1213753,84,8665,3-4-3
1213754,111,19134,4-3-3
1213754,85,193,4-3-3
1213755,94,31,4-3-1-2
1213755,80,21562,4-3-3
1213757,95,13350,3-4-1-2
1213757,94,31,4-3-1-2
1213758,83,3044,4-2-3-1
1213758,108,1470,4-2-3-1
1213759,1063,34,4-1-4-1
1213759,111,19134,5-4-1
1213760,79,68,3-4-2-1
1213760,77,19560,5-3-2
1213761,84,8665,3-5-2
1213761,96,20377,3-4-2-1
1213762,116,10665,3-4-1-2
1213762,106,19112,4-3-3
1213763,80,21562,4-2-3-1
1213763,91,1542,4-2-3-1
1213764,81,2424,4-2-3-1
1213764,93,29,4-3-3
1213765,79,68,3-4-2-1
1213765,85,193,4-3-3
1213766,80,21562,3-5-2
1213766,95,13350,3-2-4-1
1213767,106,19112,4-3-3
1213767,1063,34,4-2-3-1
1327988,42,7248,4-3-3
1327988,34,5,4-3-3
1213768,82,30,4-2-3-1
1213768,83,3044,4-2-3-1
1213769,77,19560,5-3-2
1213769,84,8665,3-4-3
1213770,91,1542,4-2-3-1
1213770,116,10665,3-4-1-2
1213771,111,19134,5-4-1
1213771,108,1470,4-2-3-1
1213772,93,29,4-3-3
1213772,94,31,4-4-2
1213773,96,20377,3-4-2-1
1213773,81,2424,4-2-3-1
1213774,108,1470,3-4-2-1
1213774,91,1542,4-2-3-1
1213775,94,31,3-4-3
1213775,82,30,4-2-3-1
1213776,116,10665,3-4-1-2
1213776,80,21562,3-5-2
1213777,83,3044,4-2-3-1
1213777,93,29,4-3-3
1213778,96,20377,3-4-2-1
1213778,111,19134,5-4-1
1213779,95,13350,4-4-2
1213779,77,19560,4-2-3-1
1213780,1063,34,4-1-4-1
1213780,79,68,5-4-1
1213781,81,2424,4-2-3-1
1213781,84,8665,3-4-3
1213782,85,193,4-3-3
1213782,106,19112,4-3-3
1213783,80,21562,3-5-2
1213783,81,2424,4-2-3-1
1213784,84,8665,3-4-3
1213784,1063,34,4-3-3
1213785,93,29,4-3-3
1213785,85,193,4-3-3
1213786,106,19112,4-3-1-2
1213786,96,20377,3-4-2-1
1213787,77,19560,4-2-3-1
1213787,83,3044,4-2-3-1
1213788,82,30,4-2-3-1
1213788,108,1470,5-4-1
1213789,79,68,4-2-3-1
1213789,95,13350,4-1-4-1
1213790,94,31,3-4-2-1
1213790,116,10665,3-4-1-2
1213791,91,1542,4-4-2
1213791,111,19134,3-5-1-1
1213792,95,13350,4-2-3-1
1213792,81,2424,4-2-3-1
1213793,85,193,4-3-3
1213793,94,31,3-4-2-1
1213794,108,1470,5-3-2
1213794,106,19112,4-3-3
1213795,116,10665,4-2-3-1
1213795,84,8665,3-4-2-1
1213796,83,3044,4-2-3-1
1213796,1063,34,4-3-3
1213797,111,19134,5-4-1
1213797,79,68,4-2-3-1
1213824,95,13350,3-4-1-2
1213824,83,3044,4-2-3-1
1213825,94,31,4-2-3-1
1213825,111,19134,3-1-4-2
1213826,77,19560,4-2-3-1
1213826,1063,34,4-1-4-1
1213827,93,29,4-3-3
1213827,106,19112,4-2-3-1
1213828,108,1470,3-4-2-1
1213828,94,31,4-1-4-1
1213829,96,20377,3-4-3
1213829,93,29,4-3-3
1213830,91,1542,4-4-2
1213830,77,19560,4-2-3-1
1213831,111,19134,3-1-4-2
1213831,82,3043,3-4-3
1213832,83,3044,4-2-3-1
1213832,81,2424,4-2-3-1
1213833,79,68,4-2-3-1
1213833,80,21562,4-3-3
1213834,1063,34,4-1-4-1
1213834,95,13350,3-4-1-2
1213835,106,19112,4-3-3
1213835,84,8665,3-4-2-1
1213836,85,193,4-3-3
1213836,116,10665,3-4-3
1213837,81,2424,4-2-3-1
1213837,108,1470,3-4-2-1
1213838,80,21562,4-3-3
1213838,1063,34,4-1-4-1
